Unnamed: 0,input,A,B,C,D,task
5,"This question refers to the following information.
In Russia there was nothing going on well, and [Souvarine] was in despair over the news he had received. His old companions were all turning to the politicians; the famous Nihilists who made Europe tremble-sons of village priests, of the lower middle class, of tradesmen-could not rise above the idea of national liberation, and seemed to believe that the world would be delivered-when they had killed their despot&…
""Foolery! They'll never get out of it with their foolery.""
Then, lowering his voice still more, in a few bitter words he described his old dream of fraternity. He had renounced his rank and his fortune; he had gone among workmen, only in the hope of seeing at last the foundation of a new society of labour in common. All the sous in his pockets had long gone to the urchins of the settlement; he had been as tender as a brother with the colliers, smiling at their suspicion, winning them over by his quiet workmanlike ways and his dislike of chattering. But decidedly the fusion had not taken place.
His voice changed, his eyes grew bright, he fixed them on étienne, directly addressing him:
""Now, do you understand that? These hatworkers at Marseilles who have won the great lottery prize of a hundred thousand francs have gone off at once and invested it, declaring that they are going to live without doing anything! Yes, that is your idea, all of you French workmen; you want to unearth a treasure in order to devour it alone afterwards in some lazy, selfish corner. You may cry out as much as you like against the rich, you haven't got courage enough to give back to the poor the money that luck brings you. You will never be worthy of happiness as long as you own anything, and your hatred of the bourgeois proceeds solely from an angry desire to be bourgeois yourselves in their place.""
émile Zola, French writer, Germinal, 1885
A nineteenth-century Russian historian evaluating this passage would probably be most interested in",the Russian interest in French culture,the spirit of camaraderie amongst the miners,the sense of continual class struggle,the need for noblesse oblige,high_school_european_history
12,"This question refers to the following information.
In Russia there was nothing going on well, and [Souvarine] was in despair over the news he had received. His old companions were all turning to the politicians; the famous Nihilists who made Europe tremble-sons of village priests, of the lower middle class, of tradesmen-could not rise above the idea of national liberation, and seemed to believe that the world would be delivered-when they had killed their despot&…
""Foolery! They'll never get out of it with their foolery.""
Then, lowering his voice still more, in a few bitter words he described his old dream of fraternity. He had renounced his rank and his fortune; he had gone among workmen, only in the hope of seeing at last the foundation of a new society of labour in common. All the sous in his pockets had long gone to the urchins of the settlement; he had been as tender as a brother with the colliers, smiling at their suspicion, winning them over by his quiet workmanlike ways and his dislike of chattering. But decidedly the fusion had not taken place.
His voice changed, his eyes grew bright, he fixed them on étienne, directly addressing him:
""Now, do you understand that? These hatworkers at Marseilles who have won the great lottery prize of a hundred thousand francs have gone off at once and invested it, declaring that they are going to live without doing anything! Yes, that is your idea, all of you French workmen; you want to unearth a treasure in order to devour it alone afterwards in some lazy, selfish corner. You may cry out as much as you like against the rich, you haven't got courage enough to give back to the poor the money that luck brings you. You will never be worthy of happiness as long as you own anything, and your hatred of the bourgeois proceeds solely from an angry desire to be bourgeois yourselves in their place.""
émile Zola, French writer, Germinal, 1885
The radical movement known as anarchism, alluded to in the first paragraph, had been related to all of the following EXCEPT",the International Workingman's Association,Pierre-Joseph Proudhon,the Congress of Vienna,the Paris Commune,high_school_european_history
41,"This question refers to the following information.
Read the the following poem to answer questions.
Take up the White Man's burden—
Send forth the best ye breed—
Go bind your sons to exile
To serve your captives' need;
To wait in heavy harness,
On fluttered folk and wild—
Your new-caught, sullen peoples,
Half-devil and half-child.
...
Take up the White Man's burden—
The savage wars of peace—
Fill full the mouth of Famine
And bid the sickness cease;
And when your goal is nearest
The end for others sought…
Watch sloth and heathen Folly
Bring all your hopes to naught.
Rudyard Kipling, The White Man's Burden, 1899
The poem describes which kind of attitude toward the native peoples who were under the rule or influence of the British Empire?","They are ""exiled sons"" of the British race.","While ""savage,"" they fight wars for the sake of a lasting peace.",They are ready for conversion to Christianity.,They are the product of a less-civilized and less-developed civilization.,high_school_european_history
45,"This question refers to the following information.
Read the following excerpt.
If civilized education developed in every child its natural inclinations, we should see nearly all rich children enamored of various very plebeian occupations, such as that of the mason, the carpenter, the smith, the saddler. I have instanced Louis the XVI, who loved the trade of locksmith; an Infanta of Spain preferred that of shoemaker; a certain king of Denmark gratified himself by manufacturing syringes; the former king of Naples loved to sell the fish he had caught in the market-place himself; the prince of Parma, whom Condillac had trained in metaphysical subtitles, in the understanding of intuition, of cognition, had no taste but for the occupation of church-warden and lay-brother.
The great majority of wealthy children would follow these plebeian tastes, if civilized education did not oppose the development of them; and if the filthiness of the workshops and the coarseness of the workmen did not arouse a repugnance stronger than the attraction. What child of a prince is there who has no taste for one of the four occupations I have just mentioned, that of mason, carpenter, smith, saddler, and who would not advance in them if he beheld from an early age the work carried on in blight workshops, by refined people, who would always arrange a miniature workshop for children, with little implements and light labor?
—Charles Fourier, On Education, 1838
Many in Fourier's circles advocated for universal male suffrage, which was propagated most by which of the following groups?",Luddites,Liberals,Benthamites,Chartists,high_school_european_history
46,"This question refers to the following information.
I am of opinion that the principal and true profession of the Courtier ought to be that of arms; which I would have him follow actively above all else, and be known among others as bold and strong, and loyal to whomsoever he serves. . . .
I would have him well built and shapely of limb, and would have him show strength and lightness and suppleness, and know all bodily exercises that befit a man of war; whereof I think the first should be to handle every sort of weapon well on foot and on horse, to understand the advantages of each, and especially to be familiar with those weapons that are ordinarily used among gentlemen. . . .
Our Courtier then will be esteemed excellent and will attain grace in everything, particularly in speaking. . . .
I would have him more than passably accomplished in letters, at least in those studies that are called the humanities, and conversant not only with the Latin language but with the Greek, for the sake of the many different things that have been admirably written therein. Let him be well versed in the poets, and not less in the orators and historians, and also proficient in writing verse and prose, especially in this vulgar [vernacular] tongue of ours. . . .
You must know that I am not content with the Courtier unless he be also a musician and unless, besides understanding and being able to read notes, he can play upon divers instruments. . . .
I wish our Courtier to guard against getting the name of a liar or a boaster, which sometimes befalls even those who do not deserve it.
—From Baldassare Castiglione's Book of the Courtier, 1528
Which of the following themes of the Renaissance era is the above writing most connected to?",Secularism,Individualism,Humanism,Perspective,high_school_european_history
48,"This question refers to the following information.
The assumption by a government of the office of Reliever-general to the poor is necessarily forbidden by the principle that a government cannot rightly do anything more than protect. In demanding from a citizen contributions for the mitigation of distress … the state is … reversing its function. … To enforce the fundamental law—to take care that every man has freedom to do all that he wills, provided he infringes not the equal freedom of any other man. … [But that] is quite a separate thing from insuring him satisfaction. …
The poverty of the incapable, the distresses that come upon the imprudent, the starvation of the idle, and those shoulderings aside of the weak by the strong … are the decrees of a large, farseeing benevolence. … When regarded not separately, but in connection with the interests of universal humanity, these harsh fatalities are seen to be full of the highest beneficence.
Herbert Spencer, Social Statistics: Survival of the Fittest Applied to Humankind, 1851
From the passage, one may infer that Spencer was an advocate of which nineteenth-century political philosophy?",Conservatism,Anarchism,Liberalism,Socialism,high_school_european_history
49,"This question refers to the following information.
Read the list of complaints below.
Article 3: Frenchmen should regard as laws of the kingdom those alone which have been prepared by the national assembly and sanctioned by the king.
Article 11: Personal liberty, proprietary rights and the security of citizens shall be established in a clear, precise and irrevocable manner. All lettres de cachet shall be abolished forever, subject to certain modifications which the States General may see fit to impose.
Article 12: And to remove forever the possibility of injury to the personal and proprietary rights of Frenchmen, the jury system shall be introduced in all criminal cases, and in civil cases for the determination of fact, in all the courts of the realm.
Article 17: All distinctions in penalties shall be abolished; and crimes committed by citizens of the different orders shall be punished irrespectively, according to the same forms of law and in the same manner. The States General shall seek to bring it about that the effects of transgression shall be confined to the individual and shall not be reflected upon the relatives of the transgressor, themselves innocent of all participation.
Article 21: No tax shall be legal unless accepted by the representatives of the people and sanctioned by the king.
—Cahiers of the Third Estate of Versailles, 1789
Which of the following was NOT one of the problems in France that caused the French Revolution referenced in the document above?",Financial problems caused by debts and low revenues.,The legal system of France was not equitable.,The proliferation of Enlightenment ideals.,There was a lot of social and political inequality in France in 1789.,high_school_european_history
57,"This question refers to the following information.
""In 1500 that work appeared which Erasmus had written after his misfortune at Dover, and had dedicated to Mountjoy, the Adagiorum Collectanea. It was a collection of about eight hundred proverbial sayings drawn from the Latin authors of antiquity and elucidated for the use of those who aspired to write an elegant Latin style. In the dedication Erasmus pointed out the profit an author may derive, both in ornamenting his style and in strengthening his argumentation, from having at his disposal a good supply of sentences hallowed by their antiquity. He proposes to offer such a help to his readers. What he actually gave was much more. He familiarized a much wider circle than the earlier humanists had reached with the spirit of antiquity.
Until this time the humanists had, to some extent, monopolized the treasures of classic culture, in order to parade their knowledge of which the multitude remained destitute, and so to become strange prodigies of learning and elegance. With his irresistible need of teaching and his sincere love for humanity and its general culture, Erasmus introduced the classic spirit, in so far as it could be reflected in the soul of a sixteenth-century Christian, among the people. Not he alone; but none more extensively and more effectively. Not among all the people, it is true, for by writing in Latin he limited his direct influence to the educated classes, which in those days were the upper classes.
Erasmus made current the classic spirit. Humanism ceased to be the exclusive privilege of a few. According to Beatus Rhenanus he had been reproached by some humanists, when about to publish the Adagia, for divulging the mysteries of their craft. But he desired that the book of antiquity should be open to all.""
Johan Huizinga, twentieth-century Dutch philosopher, Erasmus and the Age of Reformation, 1924
The type of humanism attributed to Erasmus in this passage is most similar to what Southern Renaissance movement?",Neoplatonism,Antitrinitarianism,Pietism,Rationalism,high_school_european_history
64,"This question refers to the following information.
Read the following letter.
It happened . . . that a Spaniard saw an Indian . . . eating a piece of flesh taken from the body of an Indian who had been killed. . . . I had the culprit burned, explaining that the cause was his having killed that Indian and eaten him[,] which was prohibited by Your Majesty, and by me in Your Royal name. I further made the chief understand that all the people . . . must abstain from this custom. . . . I came . . . to protect their lives as well as their property, and to teach them that they were to adore but one God[,] . . . that they must turn from their idols, and the rites they had practiced until then, for these were lies and deceptions which the devil . . . had invented. . . . I, likewise, had come to teach them that Your Majesty, by the will of Divine Providence, rules the universe, and that they also must submit themselves to the imperial yoke, and do all that we who are Your Majesty's ministers here might order them.
—Hernan Cortez, Fifth Letter to Holy Roman Emperor Charles V, 1521
Which of the following motivations for exploration is most evident from the document above?",The rise of mercantilism gave the state a new role in promoting commercial development and the acquisition of colonies overseas.,European states sought direct access to gold and spices and luxury goods as a means to enhance personal wealth and state power.,Individual captains sought great glory and wealth.,"Christianity served as a stimulus for exploration as governments and religious authorities sought to spread the faith and counter Islam, and as a justification for the physical and cultural subjugation of indigenous civilizations.",high_school_european_history
71,"This question refers to the following information.
""His Majesty the Emperor of China agrees, that British subjects, with their families and establishments, shall be allowed to reside, for the purposes of carrying on their mercantile pursuits, without molestation or restraint, at the cities and towns of Canton, Amoy, Foochowfoo, Ningpo, and Shanghai; and Her Majesty the Queen of Great Britain, &c., will appoint Superintendents, or Consular officers, to reside at each of the above-named cities or towns, to be the medium of communication between the Chinese authorities and the said merchants, and to see that the just duties and other dues of the Chinese Government, as hereafter provided for, are duly discharged by Her Britannic Majesty's subjects.""
Treaty of Nanjing, 1839
The concessions offered in this treaty most directly created British",colonies,spheres of influence,protectorates,businesses,high_school_european_history
76,"This question refers to the following information.
Read the following memoir.
Not only did he expect all persons of distinction to be in continual attendance at Court, but he was quick to notice the absence of those of inferior degree; at his lever, his couches, his meals, in the gardens of Versailles (the only place where the courtiers in general were allowed to follow him), he used to cast his eyes to right and left; nothing escaped him[;] he saw everybody. If anyone habitually living at Court absented himself he insisted on knowing the reason; those who came there only for flying visits had also to give a satisfactory explanation; anyone who seldom or never appeared there was certain to incur his displeasure. If asked to bestow a favor on such persons he would reply haughtily: ""I do not know him""; of such as rarely presented themselves he would say, ""He is a man I never see""; and from these judgments there was no appeal.
No one understood better than Louis XIV the art of enhancing the value of a favor by his manner of bestowing it; he knew how to make the most of a word, a smile, even of a glance.
He loved splendor, magnificence, and profusion in all things, and encouraged similar tastes in his Court; to spend money freely on equipages and buildings, on feasting and at cards, was a sure way to gain his favor, perhaps to obtain the honor of a word from him. Motives of policy had something to do with this; by making expensive habits the fashion, and, for people in a certain position, a necessity, he compelled his courtiers to live beyond their income, and gradually reduced them to depend on his bounty for the means of subsistence.
—Duke Saint-Simon, Memoirs of Louis XIV and His Court and His Regency, c. 1750
Which of the following was the greatest weakness and regret of the rule of King Louis XIV?",His domination of the nobility left him without friends and allies.,He was so concerned with ceremonies and appearances that he did not rule his country well.,He left the administration of his kingdom to professional bureaucrats known as intendants.,He was at war for 2/3 of his reign and united the other major powers against him.,high_school_european_history
78,"This question refers to the following information.
Read the the following poem to answer questions.
Take up the White Man's burden—
Send forth the best ye breed—
Go bind your sons to exile
To serve your captives' need;
To wait in heavy harness,
On fluttered folk and wild—
Your new-caught, sullen peoples,
Half-devil and half-child.
...
Take up the White Man's burden—
The savage wars of peace—
Fill full the mouth of Famine
And bid the sickness cease;
And when your goal is nearest
The end for others sought…
Watch sloth and heathen Folly
Bring all your hopes to naught.
Rudyard Kipling, The White Man's Burden, 1899
Based on this poem, Kipling's conception of the British imperial mission could best be summed up as",a difficult but necessary task,a ruthless exercise of power,"a glorious, religious responsibility",a hopeless task with no purpose,high_school_european_history
84,"This question refers to the following information.
""Buckingham Palace, 10th May 1839.
The Queen forgot to ask Lord Melbourne if he thought there would be any harm in her writing to the Duke of Cambridge that she really was fearful of fatiguing herself, if she went out to a party at Gloucester House on Tuesday, an Ancient Concert on Wednesday, and a ball at Northumberland House on Thursday, considering how much she had to do these last four days. If she went to the Ancient Concert on Wednesday, having besides a concert of her own here on Monday, it would be four nights of fatigue, really exhausted as the Queen is.
But if Lord Melbourne thinks that as there are only to be English singers at the Ancient Concert, she ought to go, she could go there for one act; but she would much rather, if possible, get out of it, for it is a fatiguing time&….
As the negotiations with the Tories are quite at an end, and Lord Melbourne has been here, the Queen hopes Lord Melbourne will not object to dining with her on Sunday?""
The Letters of Queen Victoria, Volume 1 (of 3), 1837-1843: A Selection from Her Majesty's Correspondence Between the Years 1837 and 1861
The long evenings of entertainment for Queen Victoria suggest what about the nature of the English monarchy in the nineteenth century?",That true political power lay elsewhere,That she was very fond of attending balls and concerts,That important political progress could only be made by attending social events,That with England's nineteenth-century economic success came more leisure time for the upper classes,high_school_european_history
94,"This question refers to the following information.
The text below is the government proclamation.
On the basis of the above-mentioned new arrangements, the serfs will receive in time the full rights of free rural inhabitants.
The nobles, while retaining their property rights to all the lands belonging to them, grant the peasants perpetual use of their household plots in return for a specified obligation[; . . . the nobles] grant them a portion of arable land fixed by the said arrangements as well as other property. . . . While enjoying these land allotments, the peasants are obliged, in return, to fulfill obligations to the noblemen fixed by the same arrangements. In this status, which is temporary, the peasants are temporarily bound. . . .
[T]hey are granted the right to purchase their household plots, and, with the consent of the nobles, they may acquire in full ownership the arable lands and other properties which are allotted them for permanent use. Following such acquisition of full ownership of land, the peasants will be freed from their obligations to the nobles for the land thus purchased and will become free peasant landowners.
WE have deemed it advisable:
3. To organize Peace Offices on the estates of the nobles, leaving the village communes as they are, and to open cantonal offices in the large villages and unite small village communes.
4. To formulate, verify, and confirm in each village commune or estate a charter which will specify, on the basis of local conditions, the amount of land allotted to the peasants for permanent use, and the scope of their obligations to the nobleman for the land.
6. Until that time, peasants and household serfs must be obedient towards their nobles, and scrupulously fulfill their former obligations.
7. The nobles will continue to keep order on their estates, with the right of jurisdiction and of police, until the organization of cantons and of cantonal courts.
—Alexander II, ""The Abolition of Serfdom in Russia,"" Manifesto of February 19, 1861
Which of the following best describes the long-term effects of Tsar Alexander II's emancipation?","Food production soared, which allowed Russians to export agricultural goods while investing the profits into their industrial sector.",The program was a complete disaster as agricultural output plummeted until Pyotr Stolypin's reforms made privatized Russian farming profitable.,"The emancipation terms relegated former serfs to communal farming, thus keeping them in perpetual poverty, and made wealthy conservatives nervous.","No longer tied to the land, former serfs moved to the cities, thus spurning the commencement of an industrial revolution in Russia.",high_school_european_history
